948,10308
947.9,10334
947.8,10293
947.7,10306
947.6,10615
947.5,10435
947.4,10369
947.3,10168
947.2,10450
947.1,10357
947,10234
946.9,10385
946.8,10312
946.7,10377
946.6,10428
946.5,10618
946.4,10369
946.3,10480
946.2,10482
946.1,10354
946,10409
945.9,10506
945.8,10417
945.7,10585
945.6,10564
945.5,10496
945.4,10705
945.3,10608
945.2,10872
945.1,10943
945,10970
944.9,10901
944.8,10985
944.7,11076
944.6,11012
944.5,11327
944.4,11399
944.3,11494
944.2,11482
944.1,11457
944,11568
943.9,11686
943.8,11783
943.7,11715
943.6,11557
943.5,11640
943.4,11564
943.3,11611
943.2,11627
943.1,11641
943,11623
942.9,11535
942.8,11431
942.7,11499
942.6,11484
942.5,11311
942.4,11465
942.3,11463
942.2,11483
942.1,11587
942,11398
941.9,11510
941.8,11231
941.7,11252
941.6,11246
941.5,11211
941.4,11447
941.3,11306
941.2,11389
941.1,11390
941,11382
940.9,11301
940.8,11173
940.7,11343
940.6,11159
940.5,11223
940.4,10986
940.3,11063
940.2,11175
940.1,10915
940,10908
939.9,10741
939.8,10785
939.7,10567
939.6,10390
939.5,10502
939.4,10484
939.3,10540
939.2,10467
939.1,10480
939,10356
938.9,10418
938.8,10416
938.7,10298
938.6,10416
938.5,10579
938.4,10278
938.3,10360
938.2,10266
938.1,10330
938,10309
937.9,10518
937.8,10411
937.7,10492
937.6,10468
937.5,10352
937.4,10464
937.3,10626
937.2,10742
937.1,10643
937,10956
936.9,10653
936.8,10850
936.7,10800
936.6,10739
936.5,10977
936.4,11333
936.3,11252
936.2,11248
936.1,11457
936,11485
935.9,11648
935.8,11727
935.7,12002
935.6,12014
935.5,11962
935.4,12425
935.3,12314
935.2,12452
935.1,12446
935,12769
934.9,12884
934.8,12683
934.7,13019
934.6,13012
934.5,13249
934.4,13092
934.3,12986
934.2,13208
934.1,13414
934,13346
933.9,13381
933.8,13353
933.7,13820
933.6,13782
933.5,14078
933.4,14214
933.3,14476
933.2,14842
933.1,14951
933,15136
932.9,15237
932.8,15117
932.7,14973
932.6,14562
932.5,14168
932.4,13564
932.3,13128
932.2,12699
932.1,12081
932,11691
931.9,11169
931.8,10838
931.7,10387
931.6,10222
931.5,10167
931.4,10121
931.3,9868
931.2,9764
931.1,9617
931,9318
930.9,9383
930.8,9365
930.7,9337
930.6,9183
930.5,9424
930.4,9224
930.3,9281
930.2,9048
930.1,9128
930,9071
929.9,9047
929.8,9142
929.7,9193
929.6,9229
929.5,9059
929.4,9051
929.3,9122
929.2,9124
929.1,9161
929,9058
928.9,9261
928.8,9007
928.7,9008
928.6,9295
928.5,9125
928.4,9135
928.3,9000
928.2,9028
928.1,8982
928,9043
927.9,9161
927.8,9052
927.7,9086
927.6,9241
927.5,8870
927.4,8933
927.3,8920
927.2,9009
927.1,8975
927,9179
926.9,9050
926.8,9023
926.7,8961
926.6,8980
926.5,9039
926.4,8985
926.3,9149
926.2,8958
926.1,8888
926,9096
925.9,9060
925.8,8938
925.7,9074
925.6,9036
925.5,9032
925.4,8870
925.3,9056
925.2,8936
925.1,9043
925,9069
924.9,9048
924.8,9279
924.7,9075
924.6,9022
924.5,9106
924.4,9003
924.3,9072
924.2,8938
924.1,9051
924,9049
923.9,9017
923.8,9027
923.7,9179
923.6,8915
923.5,9236
923.4,8908
923.3,9000
923.2,8907
923.1,8998
923,9069
922.9,8765
922.8,9082
922.7,9061
922.6,8975
922.5,8979
922.4,8912
922.3,9062
922.2,9041
922.1,8950
922,9015
921.9,9000
921.8,9313
921.7,8864
921.6,9035
921.5,8970
921.4,9048
921.3,9087
921.2,8964
921.1,8821
921,8991
920.9,8878
920.8,9033
920.7,8976
920.6,9060
920.5,9127
920.4,9008
920.3,8933
920.2,9125
920.1,9000
920,8996
