618,6493
617.8,6400
617.6,6490
617.4,6553
617.2,6564
617,6490
616.8,6541
616.6,6599
616.4,6570
616.2,6401
616,6495
615.8,6402
615.6,6568
615.4,6727
615.2,6624
615,6530
614.8,6529
614.6,6444
614.4,6530
614.2,6497
614,6389
613.8,6460
613.6,6474
613.4,6377
613.2,6444
613,6604
612.8,6444
612.6,6524
612.4,6506
612.2,6605
612,6521
611.8,6612
611.6,6550
611.4,6520
611.2,6553
611,6503
610.8,6447
610.6,6588
610.4,6676
610.2,6519
610,6722
609.8,6516
609.6,6546
609.4,6516
609.2,6681
609,6572
608.8,6699
608.6,6633
608.4,6523
608.2,6740
608,6590
607.8,6675
607.6,6507
607.4,6704
607.2,6493
607,6572
606.8,6605
606.6,6642
606.4,6652
606.2,6608
606,6575
605.8,6619
605.6,6725
605.4,6843
605.2,6773
605,6622
604.8,6608
604.6,6547
604.4,6583
604.2,6731
604,6671
603.8,6660
603.6,6609
603.4,6764
603.2,6713
603,6748
602.8,6778
602.6,6836
602.4,6653
602.2,6688
602,6592
601.8,6709
601.6,6776
601.4,6693
601.2,6843
601,6871
600.8,6648
600.6,6637
600.4,6689
600.2,6770
600,6652
599.8,6863
599.6,6882
599.4,6770
599.2,6722
599,6755
598.8,6912
598.6,6835
598.4,6801
598.2,6864
598,6860
597.8,6694
597.6,6785
597.4,6791
597.2,6835
597,6916
596.8,6791
596.6,6900
596.4,6747
596.2,6935
596,6716
595.8,6744
595.6,6960
595.4,6942
595.2,6810
595,6909
594.8,6884
594.6,6846
594.4,6865
594.2,6910
594,6927
593.8,6987
593.6,6821
593.4,6858
593.2,6816
593,6827
592.8,6767
592.6,6716
592.4,6848
592.2,6929
592,6933
591.8,6785
591.6,6793
591.4,6876
591.2,6981
591,6810
590.8,6765
590.6,6841
590.4,6880
590.2,6730
590,6944
589.8,7052
589.6,6893
589.4,6837
589.2,7029
589,6939
588.8,7028
588.6,6992
588.4,6808
588.2,6812
588,6940
587.8,6884
587.6,6810
587.4,6902
587.2,6874
587,6884
586.8,6900
586.6,6829
586.4,6880
586.2,6904
586,6818
585.8,6920
585.6,6961
585.4,6890
585.2,6888
585,6953
584.8,6840
584.6,6797
584.4,6809
584.2,6946
584,6958
583.8,6922
583.6,6875
583.4,6937
583.2,7036
583,6910
582.8,7019
582.6,7025
582.4,6986
582.2,7097
582,6949
581.8,7062
581.6,7060
581.4,7013
581.2,7154
581,7200
580.8,7039
580.6,7152
580.4,6973
580.2,7142
580,7078
579.8,7085
579.6,7166
579.4,7173
579.2,7120
579,7187
578.8,7231
578.6,7276
578.4,7433
578.2,7342
578,7594
577.8,7283
577.6,7643
577.4,7502
577.2,7698
577,7502
576.8,7459
576.6,7550
576.4,7534
576.2,7646
576,7705
575.8,7708
575.6,7771
575.4,7723
575.2,7955
575,7901
574.8,7819
574.6,8004
574.4,7957
574.2,8037
574,8042
573.8,8295
573.6,8198
573.4,8222
573.2,8138
573,8334
572.8,8508
572.6,8508
572.4,8438
572.2,8567
572,8756
571.8,8779
571.6,9095
571.4,9135
571.2,9234
571,9190
570.8,9531
570.6,9543
570.4,9440
570.2,9630
570,9706
569.8,9424
569.6,9234
569.4,9084
569.2,8879
569,8865
568.8,8461
568.6,8339
568.4,8439
568.2,8049
568,7766
567.8,7621
567.6,7322
567.4,7190
567.2,6978
567,6889
566.8,6639
566.6,6555
566.4,6536
566.2,6427
566,6183
565.8,6152
565.6,6050
565.4,5953
565.2,5863
565,5700
564.8,5535
564.6,5389
564.4,5450
564.2,5511
564,5401
563.8,5404
563.6,5245
563.4,5246
563.2,5186
563,5217
562.8,5122
562.6,5019
562.4,5079
562.2,4996
562,5017
561.8,5100
561.6,4848
561.4,4896
561.2,4895
561,4758
560.8,4740
560.6,4810
560.4,4786
560.2,4651
560,4689
559.8,4647
559.6,4643
559.4,4672
559.2,4526
559,4690
558.8,4668
558.6,4577
558.4,4625
558.2,4784
558,4678
557.8,4633
557.6,4766
557.4,4545
557.2,4518
557,4579
556.8,4686
556.6,4741
556.4,4658
556.2,4691
556,4564
555.8,4595
555.6,4635
555.4,4695
555.2,4768
555,4631
554.8,4601
554.6,4566
554.4,4756
554.2,4582
554,4667
553.8,4580
553.6,4560
553.4,4547
553.2,4452
553,4516
552.8,4559
552.6,4607
552.4,4585
552.2,4596
552,4626
551.8,4635
551.6,4757
551.4,4679
551.2,4678
551,4668
550.8,4829
550.6,4741
550.4,4783
550.2,4779
550,4604
549.8,4611
549.6,4686
549.4,4482
549.2,4477
549,4315
548.8,4308
548.6,4191
548.4,4094
548.2,4058
548,4027
547.8,3792
547.6,3890
547.4,3808
547.2,3726
547,3676
546.8,3625
546.6,3546
546.4,3413
546.2,3514
546,3433
545.8,3556
545.6,3467
545.4,3238
545.2,3327
545,3358
544.8,3314
544.6,3271
544.4,3224
544.2,3232
544,3089
543.8,3115
543.6,3173
543.4,3069
543.2,3083
543,3069
542.8,2990
542.6,2897
542.4,2936
542.2,2981
542,2865
541.8,2927
541.6,2771
541.4,2710
541.2,2886
541,2794
540.8,2620
540.6,2738
540.4,2614
540.2,2672
540,2689
539.8,2631
539.6,2606
539.4,2648
539.2,2658
539,2680
538.8,2605
538.6,2619
538.4,2555
538.2,2488
538,2551
